epoch;cnvnum;cnvlen
1;1.000000;155136.500000
2;1.000000;155043.000000
3;1.000000;154661.000000
4;1.000000;159303.500000
5;1.000000;157683.500000
6;1.000000;154661.000000
7;1.000000;158021.000000
8;1.000000;154804.500000
9;1.000000;155471.000000
10;1.000000;157439.000000
11;1.000000;154661.000000
12;1.000000;156545.000000
13;1.000000;156783.000000
14;1.000000;153018.000000
15;1.000000;155570.000000
16;1.000000;160186.500000
17;1.000000;157659.000000
18;1.000000;154661.000000
19;1.000000;156597.000000
20;1.000000;160676.000000
21;1.000000;165360.500000
22;1.000000;161591.000000
23;1.000000;157324.000000
24;1.000000;158351.000000
25;1.000000;159660.000000
26;1.000000;155136.500000
27;1.000000;158281.500000
28;1.000000;156013.000000
29;1.000000;161127.500000
30;1.000000;155471.000000
31;1.000000;157694.000000
32;1.000000;157523.500000
33;1.000000;158351.000000
34;1.000000;158485.500000
35;1.000000;154661.000000
36;1.000000;160051.000000
37;1.000000;158212.000000
38;1.000000;157386.500000
39;1.000000;160858.000000
40;1.000000;155303.000000
41;1.000000;157694.000000
42;1.000000;154661.000000
43;1.000000;154661.000000
44;1.000000;154592.000000
45;1.000000;156543.000000
46;1.000000;156142.000000
47;1.000000;159442.000000
48;1.000000;156493.000000
49;1.000000;158920.000000
50;1.000000;155471.000000
51;1.000000;156959.000000
52;1.000000;156644.000000
53;1.000000;160545.000000
54;1.000000;155777.000000
55;1.000000;156545.000000
56;1.000000;158613.000000
57;1.000000;153218.000000
58;1.000000;156644.000000
59;1.000000;155028.000000
60;1.000000;157563.000000
61;1.000000;155777.000000
62;1.000000;159720.000000
63;1.000000;157894.000000
64;1.000000;156716.000000
65;1.000000;158732.000000
66;1.000000;155469.000000
67;1.000000;156013.000000
68;1.000000;155777.000000
69;1.000000;154661.000000
70;1.000000;157694.000000
71;1.000000;154783.000000
72;1.000000;156318.000000
73;1.000000;155471.000000
74;1.000000;154661.000000
75;1.000000;155109.000000
76;1.000000;155978.000000
77;1.000000;161100.000000
78;1.000000;157694.000000
79;1.000000;162211.000000
80;1.000000;155317.500000
81;1.000000;158766.000000
82;1.000000;157654.500000
83;1.000000;157737.000000
84;1.000000;158351.000000
85;1.000000;155471.000000
86;1.000000;161363.000000
87;1.000000;155469.000000
88;1.000000;155471.000000
89;1.000000;156179.000000
90;1.000000;158351.000000
91;1.000000;154661.000000
92;1.000000;156646.500000
93;1.000000;155471.000000
94;1.000000;155470.000000
95;1.000000;156074.000000
96;1.000000;161280.000000
97;1.000000;153501.000000
98;1.000000;154661.000000
99;1.000000;155109.000000
100;1.000000;156268.000000
101;1.000000;154661.000000
102;1.000000;156713.500000
103;1.000000;161100.000000
104;1.000000;149662.000000
105;1.000000;161067.500000
106;1.000000;157715.500000
107;1.000000;157628.500000
108;1.000000;157694.000000
109;1.000000;162005.500000
110;1.000000;155471.000000
111;1.000000;154661.000000
112;1.000000;154661.000000
113;1.000000;159896.000000
114;1.000000;155895.000000
115;1.000000;155251.000000
116;1.000000;156175.000000
117;1.000000;156135.000000
118;1.000000;155109.000000
119;1.000000;161751.000000
120;1.000000;157694.000000
121;1.000000;154661.000000
122;1.000000;157694.000000
123;1.000000;156644.000000
124;1.000000;155109.000000
125;1.000000;156253.000000
126;1.000000;160322.000000
127;1.000000;155470.000000
128;1.000000;158766.500000
129;1.000000;155163.000000
130;1.000000;159139.500000
131;1.000000;159741.000000
132;1.000000;156783.000000
133;1.000000;157484.000000
134;1.000000;155012.500000
135;1.000000;161136.000000
136;1.000000;159797.500000
137;1.000000;155520.500000
138;1.000000;155306.500000
139;1.000000;155471.000000
140;1.000000;157894.000000
141;1.000000;158397.000000
142;1.000000;156649.000000
143;1.000000;156783.000000
144;1.000000;161362.000000
145;1.000000;154661.000000
146;1.000000;160770.500000
147;1.000000;157439.000000
148;1.000000;157563.000000
149;1.000000;157694.000000
150;1.000000;155074.000000
151;1.000000;158351.000000
152;1.000000;157636.000000
153;1.000000;157694.000000
154;1.000000;159467.000000
155;1.000000;155471.000000
156;1.000000;158024.000000
157;1.000000;157694.000000
158;1.000000;155464.000000
159;1.000000;155777.000000
160;1.000000;157694.000000
161;1.000000;156493.000000
162;1.000000;161312.500000
163;1.000000;154852.500000
164;1.000000;159787.000000
165;1.000000;154661.000000
166;1.000000;157694.000000
167;1.000000;161109.500000
168;1.000000;157683.500000
169;1.000000;155469.000000
170;1.000000;159404.000000
171;1.000000;155034.500000
172;1.000000;155471.000000
173;1.000000;159847.500000
174;1.000000;158760.500000
175;1.000000;157791.000000
176;1.000000;155471.000000
177;1.000000;157324.000000
178;1.000000;161360.500000
179;1.000000;155471.000000
180;1.000000;162290.000000
181;1.000000;158503.000000
182;1.000000;156545.000000
183;1.000000;157969.500000
184;1.000000;158443.000000
185;1.000000;155606.000000
186;1.000000;156783.000000
187;1.000000;158681.500000
188;1.000000;163127.000000
189;1.000000;157694.000000
190;1.000000;158351.000000
191;1.000000;161557.500000
192;1.000000;161136.000000
193;1.000000;155109.000000
194;1.000000;154783.000000
195;1.000000;159274.000000
196;1.000000;156179.000000
197;1.000000;154661.000000
198;1.000000;155520.500000
199;1.000000;155471.000000
200;1.000000;157694.000000
201;1.000000;155978.000000
202;1.000000;158107.500000
203;1.000000;162935.000000
204;1.000000;158443.000000
205;1.000000;155718.000000
206;1.000000;157947.000000
207;1.000000;155471.000000
208;1.000000;154661.000000
209;1.000000;158351.000000
210;1.000000;161751.000000
211;1.000000;154661.000000
212;1.000000;155164.000000
213;1.000000;157694.000000
214;1.000000;161100.000000
215;1.000000;157398.500000
216;1.000000;155471.000000
217;1.000000;154661.000000
218;1.000000;155471.000000
219;1.000000;155975.500000
220;1.000000;154661.000000
221;1.000000;155520.500000
222;1.000000;154661.000000
223;1.000000;161914.000000
224;1.000000;158979.000000
225;1.000000;157673.000000
226;1.000000;156626.500000
227;1.000000;155471.000000
228;1.000000;162090.000000
229;1.000000;158949.500000
230;1.000000;159730.500000
231;1.000000;156179.000000
232;1.000000;156996.000000
233;1.000000;155119.000000
234;1.000000;155471.000000
235;1.000000;156013.000000
236;1.000000;154661.000000
237;1.000000;161343.500000
238;1.000000;154951.000000
239;1.000000;157461.500000
240;1.000000;159101.000000
241;1.000000;156783.000000
242;1.000000;157599.500000
243;1.000000;160721.000000
244;1.000000;158958.500000
245;1.000000;158351.000000
246;1.000000;154661.000000
247;1.000000;154951.000000
248;1.000000;158212.000000
249;1.000000;156644.000000
250;1.000000;157694.000000
251;1.000000;155528.000000
252;1.000000;158920.000000
253;1.000000;161942.000000
254;1.000000;155683.500000
255;1.000000;162326.000000
256;1.000000;154661.000000
257;1.000000;155471.000000
258;1.000000;153108.000000
259;1.000000;158450.500000
260;1.000000;155471.000000
261;1.000000;154592.000000
262;1.000000;159660.000000
263;1.000000;158613.000000
264;1.000000;158958.500000
265;1.000000;159319.500000
266;1.000000;160519.000000
267;1.000000;159720.000000
268;1.000000;157542.000000
269;1.000000;151318.000000
270;1.000000;154951.000000
271;1.000000;158249.500000
272;1.000000;158979.000000
273;1.000000;157209.000000
274;1.000000;154661.000000
275;1.000000;155858.500000
276;1.000000;160789.500000
277;1.000000;154661.000000
278;1.000000;154661.000000
279;1.000000;157694.000000
280;1.000000;154661.000000
281;1.000000;157737.000000
282;1.000000;157346.500000
283;1.000000;161207.500000
284;1.000000;158351.000000
285;1.000000;155471.000000
286;1.000000;154661.000000
287;1.000000;156179.000000
288;1.000000;154951.000000
289;1.000000;157563.000000
290;1.000000;158467.000000
291;1.000000;155614.500000
292;1.000000;157894.000000
293;1.000000;157791.000000
294;1.000000;159543.000000
295;1.000000;162429.000000
296;1.000000;154661.000000
297;1.000000;156246.500000
298;1.000000;157636.000000
299;1.000000;157694.000000
300;1.000000;156096.000000
301;1.000000;156013.000000
302;1.000000;155136.500000
303;1.000000;158613.000000
304;1.000000;163287.000000
305;1.000000;155624.000000
306;1.000000;158281.500000
307;1.000000;154940.500000
308;1.000000;159720.000000
309;1.000000;160322.000000
310;1.000000;154661.000000
311;1.000000;157969.500000
312;1.000000;157694.000000
313;1.000000;156545.000000
314;1.000000;155791.500000
315;1.000000;155471.000000
316;1.000000;158351.000000
317;1.000000;155469.000000
318;1.000000;157742.500000
319;1.000000;156093.500000
320;1.000000;155109.000000
321;1.000000;154661.000000
322;1.000000;156620.500000
323;1.000000;155471.000000
324;1.000000;155471.000000
325;1.000000;154661.000000
326;1.000000;157636.000000
327;1.000000;157252.500000
328;1.000000;155551.500000
329;1.000000;158148.000000
330;1.000000;155471.000000
331;1.000000;157439.000000
332;1.000000;155012.500000
333;1.000000;155471.000000
334;1.000000;157654.500000
335;1.000000;157694.000000
336;1.000000;154661.000000
337;1.000000;158351.000000
338;1.000000;154661.000000
339;1.000000;158212.000000
340;1.000000;155471.000000
341;1.000000;154661.000000
342;1.000000;157683.500000
343;1.000000;158351.000000
344;1.000000;156783.000000
345;1.000000;157926.000000
346;1.000000;155471.000000
347;1.000000;156878.000000
348;1.000000;157694.000000
349;1.000000;157484.000000
350;1.000000;156783.000000
351;1.000000;157209.000000
352;1.000000;159741.000000
353;1.000000;157859.000000
354;1.000000;162097.000000
355;1.000000;157794.000000
356;1.000000;159720.000000
357;1.000000;154661.000000
358;1.000000;155109.000000
359;1.000000;155109.000000
360;1.000000;156545.000000
361;1.000000;155471.000000
362;1.000000;153501.000000
363;1.000000;161166.000000
364;1.000000;155074.000000
365;1.000000;155294.000000
366;1.000000;155497.000000
367;1.000000;158351.000000
368;1.000000;157791.000000
369;1.000000;156893.500000
370;1.000000;157439.000000
371;1.000000;154661.000000
372;1.000000;155471.000000
373;1.000000;157694.000000
374;1.000000;154661.000000
375;1.000000;158086.000000
376;1.000000;161333.000000
377;1.000000;158997.000000
378;1.000000;157535.500000
379;1.000000;158613.000000
380;1.000000;154661.000000
381;1.000000;157673.000000
382;1.000000;157673.000000
383;1.000000;157085.000000
384;1.000000;158021.000000
385;1.000000;155471.000000
386;1.000000;155471.000000
387;1.000000;155471.000000
388;1.000000;161109.500000
389;1.000000;163592.500000
390;1.000000;156783.000000
391;1.000000;157742.500000
392;1.000000;155471.000000
