epoch;cnvnum;cnvlen
1;1.000000;156096.000000
2;1.000000;157187.500000
3;1.000000;155471.000000
4;1.000000;162167.500000
5;1.000000;155502.000000
6;1.000000;154951.000000
7;1.000000;155471.000000
8;1.000000;158920.000000
9;1.000000;163149.500000
10;1.000000;162180.000000
11;1.000000;157673.000000
12;1.000000;157072.000000
13;1.000000;159161.500000
14;1.000000;160322.000000
15;1.000000;154661.000000
16;1.000000;156440.000000
17;1.000000;157694.000000
18;1.000000;154661.000000
19;1.000000;162083.000000
20;1.000000;158949.500000
21;1.000000;157694.000000
22;1.000000;162255.000000
23;1.000000;157560.000000
24;1.000000;157665.000000
25;1.000000;156493.000000
26;1.000000;159781.000000
27;1.000000;155895.000000
28;1.000000;158148.000000
29;1.000000;158969.000000
30;1.000000;161515.000000
31;1.000000;157942.000000
32;1.000000;158351.000000
33;1.000000;157694.000000
34;1.000000;156783.000000
35;1.000000;155469.000000
36;1.000000;160951.000000
37;1.000000;154661.000000
38;1.000000;158482.000000
39;1.000000;155471.000000
40;1.000000;160438.500000
41;1.000000;156013.000000
42;1.000000;157694.000000
43;1.000000;160721.000000
44;1.000000;159720.000000
45;1.000000;154661.000000
46;1.000000;154661.000000
47;1.000000;157563.000000
48;1.000000;155564.000000
49;1.000000;155471.000000
50;1.000000;161166.000000
51;1.000000;158109.500000
52;1.000000;156179.000000
53;1.000000;157439.000000
54;1.000000;158592.500000
55;1.000000;157439.000000
56;1.000000;158351.000000
57;1.000000;155471.000000
58;1.000000;154661.000000
59;1.000000;163287.000000
60;1.000000;155570.000000
61;1.000000;154626.500000
62;1.000000;156013.000000
63;1.000000;154661.000000
64;1.000000;156493.000000
65;1.000000;156545.000000
66;1.000000;161157.500000
67;1.000000;155091.500000
68;1.000000;158663.000000
69;1.000000;154661.000000
70;1.000000;154661.000000
71;1.000000;157139.000000
72;1.000000;157270.500000
73;1.000000;159349.500000
74;1.000000;155471.000000
75;1.000000;156493.000000
76;1.000000;154661.000000
77;1.000000;158565.000000
78;1.000000;155471.000000
79;1.000000;155777.000000
80;1.000000;157894.000000
81;1.000000;159720.000000
82;1.000000;155471.000000
83;1.000000;158766.500000
84;1.000000;155404.500000
85;1.000000;158572.000000
86;1.000000;155673.500000
87;1.000000;154661.000000
88;1.000000;159213.000000
89;1.000000;156013.000000
90;1.000000;155471.000000
91;1.000000;162710.000000
92;1.000000;154661.000000
93;1.000000;157802.000000
94;1.000000;154592.000000
95;1.000000;160731.000000
96;1.000000;158351.000000
97;1.000000;157817.500000
98;1.000000;160721.000000
99;1.000000;158281.500000
100;1.000000;157209.000000
101;1.000000;160897.000000
102;1.000000;158730.000000
103;1.000000;154661.000000
104;1.000000;156926.500000
105;1.000000;154661.000000
106;1.000000;155570.000000
107;1.000000;157548.500000
108;1.000000;153068.000000
109;1.000000;157842.500000
110;1.000000;158958.500000
111;1.000000;154661.000000
112;1.000000;158443.000000
113;1.000000;154661.000000
114;1.000000;154661.000000
115;1.000000;155471.000000
116;1.000000;161362.000000
117;1.000000;157694.000000
118;1.000000;155471.000000
119;1.000000;155570.000000
120;1.000000;159660.000000
121;1.000000;157694.000000
122;1.000000;157654.500000
123;1.000000;155831.000000
124;1.000000;155624.000000
125;1.000000;159339.500000
126;1.000000;157504.000000
127;1.000000;159205.500000
128;1.000000;159368.000000
129;1.000000;159135.500000
130;1.000000;159728.000000
131;1.000000;159172.000000
132;1.000000;158615.000000
133;1.000000;154661.000000
134;1.000000;158997.000000
135;1.000000;157636.000000
136;1.000000;154661.000000
137;1.000000;155030.000000
138;1.000000;158528.000000
139;1.000000;157461.500000
140;1.000000;155045.000000
141;1.000000;158351.000000
142;1.000000;155471.000000
143;1.000000;155471.000000
144;1.000000;158949.500000
145;1.000000;154661.000000
146;1.000000;156497.000000
147;1.000000;160721.000000
148;1.000000;160521.500000
149;1.000000;158920.000000
150;1.000000;158397.000000
151;1.000000;158864.000000
152;1.000000;156614.500000
153;1.000000;158351.000000
154;1.000000;154661.000000
