id;r1;r2;r3;dist2
322875;3220061;-15,0165;4,98975;0,019424533
93555;2763044;-14,9753;5,0057;0,025349162
47151;1342320;-15,0259;4,9987;0,025932605
262206;5925163;-15,0128;4,97483;0,028237721
66338;2980715;-14,9741;5,01205;0,028565933
160740;3657188;-15,0196;4,97914;0,02862341
37121;1049044;-14,9814;4,97751;0,029184929
180711;5933836;-15,0176;4,97541;0,030239512
128151;4263555;-14,9673;5,01484;0,035909826
167194;4192932;-15,0003;4,95986;0,040141121
56101;3925025;-14,988;5,03935;0,041139063
129512;3904285;-14,9729;4,96653;0,043065658
160265;3583320;-14,9587;4,98498;0,043946449
203365;1025628;-14,9742;5,03767;0,045658175
340207;1078763;-14,9606;5,02486;0,046587333
230659;2274338;-14,959;5,02971;0,050632836
134603;1927424;-15,0242;4,95141;0,054282853
67870;5478117;-14,9758;4,95066;0,054955214
70070;4442387;-14,9415;4,9915;0,059114296
5167;4271042;-14,9366;5,00769;0,06386467
250417;1937383;-15,036;5,05495;0,065692484
327261;2198270;-14,9429;5,03275;0,065825318
359811;3444324;-15,0323;5,05811;0,066483548
143118;5519793;-15,0603;4,97032;0,067208574
50930;2151355;-15,0675;5,01995;0,070386451
104363;3973804;-15,0245;4,93217;0,072119061
159110;2610950;-15,0379;5,06179;0,072487338
270574;1532301;-15,0298;5,06619;0,072588953
232908;1696549;-15,0376;4,93405;0,075915496
295690;1698254;-15,018;4,9261;0,076060568
63973;4365860;-15,0771;5,00072;0,077103362
348943;5732932;-15,0713;4,965;0,079427262
106374;5109669;-14,9409;4,94421;0,081273207
107986;2208676;-14,9188;4,99651;0,081274966
113104;4990895;-15,0796;5,02167;0,082496963
60201;2199395;-15,0157;4,91825;0,083243934
52371;1020380;-14,921;4,97362;0,083288081
320923;5393432;-15,0835;5,00316;0,083559773
309809;3197423;-14,93;4,94877;0,08674395
344763;2141490;-14,9904;4,9115;0,089019155
168290;1438970;-15,0761;5,04769;0,089808385
150000;5963113;-14,9094;5,0048;0,090727063
130780;5993897;-14,9233;4,95074;0,091156117
192466;5716468;-14,9879;4,90856;0,092237105
165874;2408181;-15,0628;5,06854;0,092960054
212853;2106828;-15,0506;4,92122;0,093630382
85707;4430668;-15,0693;4,93306;0,09635068
259276;2062480;-14,9445;4,91996;0,097399444
468;2001482;-15,0961;4,98219;0,097736411
272884;5369672;-15,0502;4,91526;0,098493186
299932;5627017;-15,0981;5,01156;0,098778761
209762;3725985;-15,0432;4,91088;0,099038449
288556;5944078;-15,0306;4,90537;0,099454497
60177;2499544;-14,9414;5,08254;0,101226536
70016;1820486;-14,911;4,9517;0,101261493
115563;5533888;-14,9328;4,92366;0,101703666
295673;1817525;-14,8991;5,0137;0,101825832
137392;5378168;-14,8965;4,99099;0,103891434
209413;1231628;-15,0964;4,96116;0,103930292
335532;4766913;-14,966;4,90033;0,105309586
76729;5575646;-15,1048;4,98515;0,105846882
23100;2229350;-14,9202;5,06965;0,105920548
172535;5710068;-15,0093;5,1058;0,106207956
87025;4602569;-14,9447;5,09092;0,106416805
18090;5924101;-15,1083;4,98409;0,109462405
225222;3616806;-15,1072;5,02234;0,109503039
274990;1288894;-15,027;4,89373;0,109646308
158933;4978244;-15,082;5,07433;0,11067497
196129;4169403;-15,111;5,00308;0,111042723
5660;5856877;-14,9602;4,8942;0,113038401
109023;3331855;-15,0663;4,90824;0,113205952
361700;1450078;-15,0506;4,89499;0,116565261
316422;2477864;-14,9693;4,88641;0,117665535
276502;1188688;-15,1092;4,95501;0,118104784
290902;4454345;-14,9776;4,88393;0,118211695
137320;1580276;-15,0457;5,10976;0,11889385
323671;1451912;-14,9042;4,92797;0,119858087
338570;3808697;-15,0011;5,12004;0,12004504
72067;5110735;-14,9423;5,10577;0,120484783
31887;1632543;-15,1158;4,96571;0,120770212
311181;1071257;-14,88;5,01803;0,121346944
17644;2971737;-14,9825;5,12121;0,122466788
195609;4718117;-14,8824;4,96572;0,122494402
74254;3548676;-14,8941;4,93645;0,123504706
285952;3259981;-14,8764;4,99872;0,123606628
104336;4776758;-14,9146;4,9102;0,12392417
97392;1843599;-14,882;4,96194;0,123986143
285830;5945811;-14,8804;5,03747;0,125332202
158805;1735373;-14,8813;5,04286;0,12620091
299992;4767416;-14,901;5,07864;0,126432787
330920;2508940;-14,8978;4,92547;0,126489371
233843;3253064;-15,1174;5,04867;0,127088666
253761;3509715;-15,1257;4,97634;0,127907332
104945;1264201;-14,9509;4,87812;0,131398419
185608;5152589;-15,0133;4,86772;0,132946938
151823;5061651;-15,1263;5,04373;0,133656286
48029;5876305;-14,9686;5,1304;0,134127253
343776;4328922;-15,0229;4,86777;0,134198297
4307;2579635;-15,1041;5,08565;0,134806278
43885;2538030;-14,9017;4,90643;0,135713798
81735;2305678;-14,9704;5,13357;0,136810471
102733;1207575;-15,1299;4,95654;0,136977303
98345;4814341;-14,9679;5,13352;0,137324435
158131;5782051;-14,903;4,90252;0,137518546
48659;2552681;-15,04;5,13325;0,13912427
270866;5743987;-15,126;5,06248;0,140640501
165099;1757977;-15,0114;5,14137;0,1418289
225021;5776134;-15,0548;5,13185;0,142784672
291914;5509297;-15,0338;5,14232;0,146278578
330868;2701539;-14,857;4,96427;0,147396177
