id;r1;r2;r3
9;5214378;-12,8808;3,36515
11;3339844;-11,9601;4,05693
23;3863163;-14,2416;4,94722
26;2071696;-12,9548;5,20441
30;4290056;-13,4709;5,14889
35;2755733;-12,5355;2,71193
38;5540724;-12,9502;2,93869
39;4464231;-11,272;2,94766
44;2114893;-14,1173;2,13269
47;5148853;-10,5669;1,86223
48;2686075;-12,5728;4,33856
53;2525871;-13,0877;3,7785
56;2011339;-12,98;2,22231
64;4806807;-11,6143;4,79452
65;1616910;-12,4599;2,46932
69;3731974;-10,3414;5,32462
70;5392032;-13,263;1,52077
73;2444322;-10,4125;5,053
74;5190424;-12,593;1,35852
77;3535050;-13,2027;4,71804
79;1913635;-10,4325;2,13669
81;5101347;-13,7817;3,65949
91;5368849;-11,7217;5,54983
92;3978746;-12,3999;2,49588
96;5130705;-12,3334;4,58397
101;4989773;-11,4307;3,76058
102;5567351;-13,7915;5,86097
106;5761229;-11,1457;4,40948
108;5528752;-12,0046;2,83783
110;2788856;-16,0241;3,19671
115;4297105;-10,8227;5,07196
117;4470158;-8,64568;1,69284
118;1265984;-11,7006;3,50626
123;1908884;-12,4093;3,48958
124;4160608;-13,3037;4,70288
125;3109243;-12,7446;3,15234
132;4809100;-13,1001;3,42797
141;1205168;-13,196;3,23333
146;5381279;-14,7545;3,55605
153;4703471;-10,23;3,8547
164;1161552;-12,8365;4,92501
166;2933117;-12,5215;4,27991
168;4345533;-14,3307;1,9569
176;3475147;-12,8469;0,642795
184;1169122;-12,8761;3,36693
186;4724728;-13,5407;2,31033
195;3396183;-11,1483;3,85159
199;3152523;-14,1907;5,4231
200;5458680;-11,3269;2,65474
207;5062625;-13,8608;2,18421
208;4207591;-11,8103;3,33911
223;5211506;-12,2594;1,07283
224;1131272;-11,5989;4,50369
236;1329010;-12,3981;6,21011
242;2967678;-14,7636;3,27607
256;2854412;-12,061;3,78244
272;5574941;-10,4733;3,65575
277;3049331;-12,6765;1,08673
285;3891772;-12,273;0,553265
289;3974013;-12,5234;1,47994
290;4757278;-12,0339;2,15515
294;4756469;-12,274;2,25519
296;5059296;-12,761;4,4947
297;4298257;-11,588;4,44627
303;2461973;-15,158;6,53683
305;1098822;-14,0399;6,42031
308;4047619;-9,55063;0,161007
325;1801142;-14,0475;3,25418
333;4160958;-9,4459;3,22607
360;3706960;-13,776;6,23413
362;3780403;-11,2916;4,63458
365;2865992;-13,3391;7,02807
367;5482868;-13,2265;5,42429
368;5671405;-11,4204;1,61731
373;1616629;-13,9935;5,24228
374;4055796;-11,5788;2,8186
376;5373268;-12,2986;4,40959
377;3913046;-13,0119;3,83142
378;3703382;-12,027;1,14062
380;2844734;-12,2139;1,82492
388;3370778;-14,6942;6,33412
393;1971805;-12,3545;4,61646
394;1533675;-11,794;5,14524
396;3812337;-11,4008;6,88061
397;2954974;-10,6573;4,12356
406;4938492;-12,3812;3,46042
412;2505408;-8,69675;2,88796
414;3198375;-12,1543;1,75966
417;3969645;-9,22678;4,60979
419;3914614;-13,2439;4,33286
420;4327596;-13,4929;5,66402
421;5066902;-12,1839;2,22071
433;3660203;-9,97072;4,58581
437;5545243;-11,6834;2,36641
442;1718037;-12,7552;6,57465
443;4284602;-11,2769;3,97657
446;5825468;-14,4772;5,20409
447;5729582;-12,9444;4,16262
448;4275425;-12,003;2,77937
450;1586627;-11,1436;3,70482
454;1886311;-11,0745;3,04701
459;5840473;-13,068;3,82853
462;2096986;-12,1811;5,55068
464;2806105;-12,0761;1,26203
468;2001482;-15,0961;4,98219
474;3665978;-11,8099;4,39095
475;2355302;-13,892;2,15926
476;3132716;-12,1323;4,65009
478;1971095;-10,1808;6,04914
