;id;r1;r2;r3;clusters
0;17;1472585;-9.23457;2.2568200000000003;0
1;18;1262013;-9.64582;1.90181;0
2;22;4460844;-10.5385;3.17117;0
3;23;3863163;-14.2416;4.94722;1
4;25;1857524;-14.1111;4.21431;1
5;27;4304192;-8.69351;1.96379;0
6;30;4290056;-13.4709;5.14889;1
7;31;5144218;-15.2685;4.19344;1
8;37;4126741;-14.2026;5.8066;1
9;41;3792404;-6.927980000000002;3.7645;0
10;42;5286055;-13.8367;5.19946;1
11;45;4084112;-14.0867;3.95297;1
12;47;5148853;-10.5669;1.86223;0
13;51;5211709;-10.802;3.4151;0
14;58;5192874;-9.01063;2.22225;0
15;59;2961420;-14.5655;4.5135;1
16;79;1913635;-10.4325;2.13669;0
17;83;2958253;-14.0742;4.52234;1
18;97;2003026;-9.81691;2.5378;0
19;103;3552052;-10.4438;1.99715;0
20;105;4950752;-10.7197;2.86267;0
21;117;4470158;-8.64568;1.69284;0
22;119;3365622;-13.8758;3.79428;1
23;124;4160608;-13.3037;4.70288;1
24;127;3133482;-13.8913;3.95089;1
25;130;5821563;-14.0362;4.38235;1
26;133;2575837;-10.8272;1.8349;0
27;137;4936656;-14.166;5.0031300000000005;1
28;138;3782838;-11.0908;2.94734;0
29;139;4149197;-10.0539;2.54438;0
30;140;1612737;-14.1399;3.99634;1
31;149;2939079;-13.5354;5.084230000000002;1
32;155;4122155;-9.46677;2.18416;0
33;158;3612169;-11.2046;2.80435;0
34;163;1097407;-9.38835;2.56377;0
35;167;4037020;-15.1267;5.1661199999999985;1
36;173;1481216;-11.1589;3.11936;0
37;174;5470379;-14.7023;5.60909;1
38;192;1884737;-13.2846;4.76746;1
39;199;3152523;-14.1907;5.4231;1
40;209;4589537;-9.92661;2.9550400000000003;0
41;213;4144061;-14.6935;5.52497;1
42;215;5958439;-9.25213;2.4332700000000003;0
43;216;1616879;-14.4007;3.90846;1
44;222;3716065;-14.3417;3.9208;1
45;230;2989489;-10.7994;2.84713;0
46;239;4890793;-11.1475;2.75003;0
47;240;4264828;-15.7762;6.81539;1
48;243;5151484;-10.9522;3.20918;0
49;244;3191506;-16.7381;6.06804;1
50;245;2027935;-14.9871;4.06146;1
51;258;4091497;-14.215;5.91111;1
52;259;3437476;-14.1298;5.78064;1
53;262;1215019;-10.4308;3.17957;0
54;272;5574941;-10.4733;3.65575;0
55;278;2493369;-9.6055;3.77474;0
56;280;3600001;-13.7001;3.84371;1
57;281;1977199;-15.6558;6.05173;1
58;300;2593149;-14.4101;4.97729;1
59;303;2461973;-15.158;6.53683;1
60;304;2100779;-11.1728;2.7000900000000003;0
61;308;4047619;-9.55063;0.16100699999999998;0
62;313;3410341;-14.379;3.84395;1
63;318;3967758;-14.7709;4.01495;1
64;320;4432416;-14.8755;5.28754;1
65;321;4902310;-14.7623;3.75361;1
66;323;5869939;-11.1816;2.87288;0
67;327;3434809;-10.788;3.15995;0
68;329;5996833;-10.7816;2.79717;0
69;332;3109266;-14.4192;4.47799;1
70;333;4160958;-9.4459;3.22607;0
71;336;1171404;-14.4488;5.07912;1
72;338;4442041;-15.6036;3.87891;1
73;341;3779524;-9.90211;1.63702;0
74;344;5267105;-14.4502;4.33615;1
