id;r1;r2;r3;dist2
6217;1778141;-14.9911;4.99721;0.009327063
103139;5011158;-15.0101;4.99379;0.011856395
164571;5127911;-15.012;4.99873;0.012067017
58737;2005206;-14.9902;4.98824;0.015308089
133770;5529358;-14.9848;4.98875;0.018910381
322875;3220061;-15.0165;4.98975;0.019424533
46087;1050550;-14.9778;5.00802;0.023604245
18484;2894292;-14.9782;5.01272;0.02523962
93555;2763044;-14.9753;5.0057;0.025349162
47151;1342320;-15.0259;4.9987;0.025932605
173003;3785261;-15.0237;5.01408;0.027566944
32442;5760733;-15.0277;4.99617;0.027963528
262206;5925163;-15.0128;4.97483;0.028237721
66338;2980715;-14.9741;5.01205;0.028565933
160740;3657188;-15.0196;4.97914;0.02862341
37121;1049044;-14.9814;4.97751;0.029184929
180711;5933836;-15.0176;4.97541;0.030239512
346319;5172464;-15.0112;5.029;0.031087618
255751;5962968;-15.0187;5.02601;0.032034514
181612;5798251;-14.9922;5.03403;0.034912475
128151;4263555;-14.9673;5.01484;0.035909826
3691;2553070;-14.966;4.98627;0.0366676
179018;5828636;-14.9898;5.03574;0.037167023
164962;4708999;-14.9952;4.96269;0.037617497
251649;3342691;-14.9637;5.01279;0.038487324
92611;2323017;-15.0244;4.97015;0.038553631
167194;4192932;-15.0003;4.95986;0.040141121
66354;4040947;-14.9612;5.01272;0.040831831
56101;3925025;-14.988;5.03935;0.041139063
129512;3904285;-14.9729;4.96653;0.043065658
160265;3583320;-14.9587;4.98498;0.043946449
17652;1130171;-14.9591;4.98072;0.045216462
203365;1025628;-14.9742;5.03767;0.045658175
63720;5185465;-14.9982;4.95353;0.046504848
340207;1078763;-14.9606;5.02486;0.046587333
362361;2274618;-15.0399;4.97024;0.049776175
304417;2835156;-15.0469;5.018;0.050235545
230659;2274338;-14.959;5.02971;0.050632836
72840;1222525;-14.9658;4.96207;0.051071762
342076;1731136;-14.9966;4.94792;0.052190865
94754;2874796;-15.0048;5.05216;0.052380393
340943;5934124;-15.0174;5.05002;0.052959989
134603;1927424;-15.0242;4.95141;0.054282853
106749;2267544;-14.9645;4.95865;0.054498372
67870;5478117;-14.9758;4.95066;0.054955214
313011;1413600;-15.0352;4.95672;0.055787081
186708;5888000;-15.0122;5.05541;0.056737184
319684;1125181;-14.9814;5.05557;0.058600212
70070;4442387;-14.9415;4.9915;0.059114296
62029;2172100;-15.0571;5.01673;0.059500445
113533;5798536;-14.9772;4.94394;0.060519118
