id;r1;r2;r3
17;1472585;-9.23457;2.2568200000000003
18;1262013;-9.64582;1.9018099999999998
22;4460844;-10.5385;3.17117
23;3863163;-14.2416;4.94722
25;1857524;-14.1111;4.21431
27;4304192;-8.69351;1.9637900000000001
30;4290056;-13.4709;5.14889
31;5144218;-15.2685;4.19344
37;4126741;-14.2026;5.8066
41;3792404;-6.927980000000001;3.7645
42;5286055;-13.8367;5.19946
45;4084112;-14.0867;3.9529699999999997
47;5148853;-10.5669;1.8622299999999998
51;5211709;-10.802;3.4151
58;5192874;-9.01063;2.22225
59;2961420;-14.5655;4.5135
79;1913635;-10.4325;2.13669
83;2958253;-14.0742;4.52234
97;2003026;-9.81691;2.5378
103;3552052;-10.4438;1.99715
105;4950752;-10.7197;2.86267
117;4470158;-8.64568;1.6928400000000001
119;3365622;-13.8758;3.79428
124;4160608;-13.3037;4.70288
127;3133482;-13.8913;3.9508900000000002
130;5821563;-14.0362;4.38235
133;2575837;-10.8272;1.8349
137;4936656;-14.165999999999999;5.0031300000000005
138;3782838;-11.0908;2.94734
139;4149197;-10.0539;2.54438
140;1612737;-14.1399;3.99634
149;2939079;-13.5354;5.084230000000001
155;4122155;-9.46677;2.18416
158;3612169;-11.2046;2.80435
163;1097407;-9.38835;2.56377
167;4037020;-15.1267;5.166119999999999
173;1481216;-11.1589;3.11936
174;5470379;-14.7023;5.60909
192;1884737;-13.2846;4.76746
199;3152523;-14.1907;5.4231
209;4589537;-9.92661;2.9550400000000003
213;4144061;-14.6935;5.52497
215;5958439;-9.252130000000001;2.4332700000000003
216;1616879;-14.4007;3.90846
222;3716065;-14.3417;3.9208
230;2989489;-10.7994;2.84713
239;4890793;-11.1475;2.7500299999999998
240;4264828;-15.7762;6.81539
243;5151484;-10.9522;3.20918
244;3191506;-16.7381;6.06804
245;2027935;-14.9871;4.06146
258;4091497;-14.215;5.91111
259;3437476;-14.1298;5.78064
262;1215019;-10.4308;3.17957
272;5574941;-10.4733;3.65575
278;2493369;-9.6055;3.77474
280;3600001;-13.7001;3.8437099999999997
281;1977199;-15.6558;6.05173
300;2593149;-14.4101;4.97729
303;2461973;-15.158;6.53683
304;2100779;-11.1728;2.7000900000000003
308;4047619;-9.55063;0.16100699999999998
313;3410341;-14.379000000000001;3.84395
318;3967758;-14.7709;4.01495
320;4432416;-14.8755;5.28754
321;4902310;-14.7623;3.7536099999999997
323;5869939;-11.1816;2.87288
327;3434809;-10.788;3.15995
329;5996833;-10.7816;2.79717
332;3109266;-14.4192;4.47799
333;4160958;-9.4459;3.22607
336;1171404;-14.4488;5.07912
338;4442041;-15.6036;3.87891
341;3779524;-9.90211;1.6370200000000001
344;5267105;-14.4502;4.33615
349;5192998;-17.0494;4.46481
351;4311202;-10.487;3.33106
355;5376471;-15.607999999999999;4.81988
371;5455465;-13.4085;4.22741
372;4100444;-14.3649;5.0913699999999995
373;1616629;-13.9935;5.24228
381;1284804;-10.3961;2.39399
382;3153519;-10.0141;2.7221599999999997
384;2128301;-13.5836;3.88384
385;2931325;-15.0825;5.39436
388;3370778;-14.6942;6.3341199999999995
389;5151722;-9.94789;1.8710900000000001
395;5320894;-14.9577;5.80295
399;3130201;-14.1191;4.6819
402;3415513;-13.9752;5.08294
403;2790231;-13.9528;4.6452
405;2185375;-9.67568;1.7839900000000002
408;2681868;-10.6102;2.6640599999999997
412;2505408;-8.69675;2.8879599999999996
422;4354564;-14.5319;6.66828
423;1918284;-14.7018;4.439030000000001
424;3925676;-10.2201;3.5672800000000002
431;5864154;-8.31734;1.11995
440;4959192;-9.80395;1.87464
446;5825468;-14.4772;5.20409
449;3233902;-10.4205;2.54841
451;1983455;-14.3186;5.55736
454;1886311;-11.0745;3.0470099999999998
457;3324138;-14.4807;5.33453
461;1045189;-13.585;4.39001
467;4827246;-14.4428;4.10928
468;2001482;-15.0961;4.98219
469;4683913;-13.6966;5.2820599999999995
473;3513987;-17.5019;4.60156
479;4872363;-11.0434;2.91908
482;3114106;-15.2543;4.51095
488;3600687;-13.8158;5.30262
491;1433792;-9.17967;2.70704
493;1800561;-9.74087;1.21735
500;4388082;-10.4406;1.03664
503;6020437;-14.3325;4.61291
513;4700275;-11.0004;2.89883
515;3301558;-11.035;2.51962
518;1429399;-15.777000000000001;3.92524
522;3871377;-14.1242;4.80144
523;1857101;-13.3547;4.82425
524;1951159;-11.0794;2.97935
531;4180075;-14.2724;4.12793
533;5253541;-14.2709;4.46775
534;4852133;-14.3369;3.9975099999999997
535;3078127;-10.605;3.57695
537;1356916;-15.2209;3.86211
539;3414342;-10.34;2.7765400000000002
540;2224948;-13.7772;3.9073599999999997
546;4799241;-14.1613;4.10325
548;5309836;-9.846630000000001;2.4426400000000004
550;4885068;-14.6389;5.71018
556;2056969;-14.6595;4.17646
560;4184614;-10.5392;2.0483700000000002
564;5348987;-10.7741;3.4035599999999997
568;5239782;-10.4077;3.66422
587;3018960;-10.0598;3.16832
591;3899492;-16.2343;3.78251
608;3047060;-9.74341;3.80634
610;2661565;-14.6711;3.9272199999999997
613;4642428;-9.86218;0.33653
623;1376907;-13.7482;4.7119599999999995
638;5315088;-14.536;5.03183
649;5154197;-6.7267399999999995;4.63253
650;3586206;-13.3842;4.78834
655;5692332;-10.4936;2.7423900000000003
656;2692687;-11.0925;3.12601
658;3138088;-14.3612;4.4319999999999995
659;1373661;-14.2056;4.52709
667;4499313;-10.7688;3.4216599999999997
674;2382532;-14.3607;4.871630000000001
686;1850567;-8.98429;2.85334
695;3119627;-13.7497;4.41363
703;2050081;-9.09646;-0.456046
704;1759937;-9.91538;0.6579229999999999
705;3056117;-10.2853;2.4190400000000003
708;4317240;-13.6386;4.33354
727;3551268;-10.3078;3.71032
728;5624627;-14.5748;6.1706
733;4276720;-14.8933;4.65276
737;3664509;-13.7314;4.50672
749;1521165;-15.0936;5.02878
756;2060418;-9.710930000000001;3.21236
763;1063213;-13.4472;4.7993
765;2933522;-13.9298;4.31046
767;2635127;-18.4173;4.63439
771;5179919;-13.9394;4.4042900000000005
780;5775243;-14.129000000000001;4.12994
783;5125421;-10.9111;3.12795
786;5159184;-15.8056;4.0937
792;1588103;-8.53842;1.6765900000000002
802;1553536;-8.76944;1.78918
811;2789816;-14.8258;3.7909699999999997
812;1842046;-9.2088;2.13367
819;3398345;-10.5664;3.25779
820;4485728;-9.52968;1.69291
823;2758545;-15.7219;4.35525
825;1091500;-15.7426;5.55915
828;5686688;-9.80612;3.44305
831;1983942;-10.5406;3.18329
832;5940296;-10.3872;3.3391800000000003
835;4782832;-9.85165;1.96015
843;2638449;-7.9232;2.1165700000000003
845;3687144;-8.11122;0.131204
